product_code,product_category,product_type,multiplication_factor,product_type_outcome
pp001,Banana,Banana (fresh),1,
pp002,Banana,Baby banana: Coastal (<800m above sea level),1,
pp003,Banana,Baby banana: Mountain (≥800m above sea level),1,
pp004,Banana,Plantain (fresh),1,
pp005,Banana,Other [Specify],1,
pp006,Cane sugar,Sugarcane,0.1,cane sugar
pp007,Cane sugar,Other [Specify],1,
pp008,Cocoa,Cocoa beans (raw),1,
pp009,Cocoa,Other [Specify],1,
pp010,Coffee,Arabica: Unprocessed cherry,0.5,Green bean
pp011,Coffee,Arabica: Dry cherry,0.5,Green bean
pp012,Coffee,Arabica: Unwashed parchment,0.8,Green bean
pp013,Coffee,Arabica: Washed parchment,0.8,Green bean
pp014,Coffee,Robusta: Unprocessed cherry,0.5,Green bean
pp015,Coffee,Robusta: Dry cherry,0.5,Green bean
pp016,Coffee,Robusta: Unwashed parchment,0.8,Green bean
pp017,Coffee,Robusta: Washed parchment,0.8,Green bean
pp018,Coffee,Other [Specify],1,
pp019,Dried fruit,Acai,1,
pp020,Dried fruit,Apples,1,
pp021,Dried fruit,Apricot,1,
pp022,Dried fruit,Banana,1,
pp023,Dried fruit,Blueberry,1,
pp024,Dried fruit,Cherry,1,
pp025,Dried fruit,Coconut,1,
pp026,Dried fruit,Date,1,
pp027,Dried fruit,Limes,1,
pp028,Dried fruit,Mango,1,
pp029,Dried fruit,Melon (Cucumis melo),1,
pp030,Dried fruit,Papaya,1,
pp031,Dried fruit,Pears,1,
pp032,Dried fruit,Physalis,1,
pp033,Dried fruit,Pineapple,1,
pp034,Dried fruit,Plums,1,
pp035,Dried fruit,Pomegranate,1,
pp036,Dried fruit,Raisin,1,
pp037,Dried fruit,Raspberries,1,
pp038,Dried fruit,Sultana,1,
pp039,Dried fruit,Watermelon,1,
pp040,Dried fruit,Wild Apricot,1,
pp041,Dried fruit,Other [Specify],1,
pp042,Dried vegetables,Tomato,1,
pp043,Dried vegetables,Other [Specify],1,
pp044,Flowers and Plants,Cut Flowers,1,
pp045,Flowers and Plants,Cut Foliage,1,
pp046,Flowers and Plants,Cut Flowers and Cut Foliage,1,
pp047,Flowers and Plants,Ornamental Plants,1,
pp048,Flowers and Plants,Other [Specify],1,
pp049,Fonio,Fonio,1,
pp050,Fonio,Other [Specify],1,
pp051,Fresh fruit,Acai,1,
pp052,Fresh fruit,Apples,1,
pp053,Fresh fruit,Apricot,1,
pp054,Fresh fruit,Avocados,1,
pp055,Fresh fruit,Baobab,1,
pp056,Fresh fruit,Blackcurrant,1,
pp057,Fresh fruit,Blueberry,1,
pp058,Fresh fruit,Cherry,1,
pp059,Fresh fruit,Dates,1,
pp060,Fresh fruit,Dragon fruit,1,
pp061,Fresh fruit,Grapefruit,1,
pp062,Fresh fruit,Lemons,1,
pp063,Fresh fruit,Limes,1,
pp064,Fresh fruit,Lychees,1,
pp065,Fresh fruit,Mangoes,1,
pp066,Fresh fruit,Marula,1,
pp067,Fresh fruit,Melon (Cumumis melo),1,
pp068,Fresh fruit,Mini watermelon,1,
pp069,Fresh fruit,Nectarines,1,
pp070,Fresh fruit,Oranges,1,
pp071,Fresh fruit,Oranges: Navel,1,
pp072,Fresh fruit,Oranges: Valencia,1,
pp073,Fresh fruit,Papaya,1,
pp074,Fresh fruit,Passion Fruit,1,
pp075,Fresh fruit,Peaches and Nectarines,1,
pp076,Fresh fruit,Pears,1,
pp077,Fresh fruit,Physalis,1,
pp078,Fresh fruit,Pineapples,1,
pp079,Fresh fruit,Plums,1,
pp080,Fresh fruit,Pomegranate,1,
pp081,Fresh fruit,Prickly pear,1,
pp082,Fresh fruit,Raspberries,1,
pp083,Fresh fruit,Redcurrant,1,
pp084,Fresh fruit,Soft citrus: Clementines,1,
pp085,Fresh fruit,Soft citrus: Mandarines,1,
pp086,Fresh fruit,Soft Citrus: Satsumas,1,
pp087,Fresh fruit,Soft Citrus: Tangerines,1,
pp088,Fresh fruit,Strawberries,1,
pp089,Fresh fruit,Table Grapes: Seeded,1,
pp090,Fresh fruit,Table Grapes: Seedless,1,
pp091,Fresh fruit,Watermelon,1,
pp092,Fresh fruit,Other [Specify],1,
pp093,Fruit juices,Apple,1,
pp094,Fruit juices,Grapefruit,1,
pp095,Fruit juices,Guava,1,
pp096,Fruit juices,Lemon,1,
pp097,Fruit juices,Lime,1,
pp098,Fruit juices,Mandarin,1,
pp099,Fruit juices,Orange,1,
pp100,Fruit juices,Passion fruit,1,
pp101,Fruit juices,Pineapple,1,
pp102,Fruit juices,Other [Specify],1,
pp103,Gold & associated Precious Metals,Gold: Conventional,1,
pp104,Gold & associated Precious Metals,Gold: Ecological,1,
pp105,Gold & associated Precious Metals,Silver: Conventional,1,
pp106,Gold & associated Precious Metals,Silver: Ecological,1,
pp107,Gold & associated Precious Metals,Platinum: Conventional,1,
pp108,Gold & associated Precious Metals,Platinum: Ecological,1,
pp109,Gold & associated Precious Metals,Other [Specify],1,
